"","Organism","Kingdom","Phylum","Class","mDAG_Id","Full_Name","Freq_Phylum","Freq_Class","clust4_MSA","clust4_Mun","combined_cluster_MSA_Kingdom","combined_cluster_Mun_Kingdom"
"24","cimi","Animals","Vertebrates","Mammals","0098","Cebus imitator (Panamanian white-faced capuchin)",331,139,1,1,"Animals1","Animals1"
"25","cjc","Animals","Vertebrates","Mammals","0132","Callithrix jacchus (white-tufted-ear marmoset)",331,139,1,1,"Animals1","Animals1"
"26","clud","Animals","Vertebrates","Mammals","0573","Canis lupus dingo (dingo)",331,139,1,1,"Animals1","Animals1"
"27","cpoc","Animals","Vertebrates","Mammals","0448","Cavia porcellus (domestic guinea pig)",331,139,1,1,"Animals1","Animals1"
"28","csab","Animals","Vertebrates","Mammals","0584","Chlorocebus sabaeus (green monkey)",331,139,1,1,"Animals1","Animals1"
"29","csyr","Animals","Vertebrates","Mammals","0848","Carlito syrichta (Philippine tarsier)",331,139,1,1,"Animals1","Animals1"
"30","dle","Animals","Vertebrates","Mammals","0598","Delphinapterus leucas (beluga whale)",331,139,1,1,"Animals1","Animals1"
"31","dnm","Animals","Vertebrates","Mammals","0628","Dasypus novemcinctus (nine-banded armadillo)",331,139,1,1,"Animals1","Animals1"
"32","dord","Animals","Vertebrates","Mammals","0516","Dipodomys ordii (Ord's kangaroo rat)",331,139,1,1,"Animals1","Animals1"
"33","dro","Animals","Vertebrates","Mammals","0683","Desmodus rotundus (common vampire bat)",331,139,1,1,"Animals1","Animals1"
"34","dsp","Animals","Vertebrates","Mammals","0700","Dipodomys spectabilis (banner-tailed kangaroo rat)",331,139,1,1,"Animals1","Animals1"
"35","eai","Animals","Vertebrates","Mammals","0818","Equus asinus (ass)",331,139,1,1,"Animals1","Animals1"
"36","ecb","Animals","Vertebrates","Mammals","0839","Equus caballus (horse)",331,139,1,1,"Animals1","Animals1"
"37","eju","Animals","Vertebrates","Mammals","0070","Eumetopias jubatus (Steller sea lion)",331,139,1,1,"Animals1","Animals1"
"38","elk","Animals","Vertebrates","Mammals","0090","Enhydra lutris kenyoni (northern sea otter)",331,139,1,1,"Animals1","Animals1"
"39","epz","Animals","Vertebrates","Mammals","0184","Equus przewalskii (Przewalski's horse)",331,139,1,1,"Animals1","Animals1"
"40","etf","Animals","Vertebrates","Mammals","0248","Echinops telfairi (small Madagascar hedgehog)",331,139,1,1,"Animals1","Animals1"
"41","fca","Animals","Vertebrates","Mammals","0459","Felis catus (domestic cat)",331,139,1,1,"Animals1","Animals1"
"42","gas","Animals","Vertebrates","Mammals","0780","Gracilinanus agilis (agile gracile opossum)",331,139,1,1,"Animals1","Animals1"
"43","ggo","Animals","Vertebrates","Mammals","0840","Gorilla gorilla gorilla (western lowland gorilla)",331,139,1,1,"Animals1","Animals1"
"44","gvr","Animals","Vertebrates","Mammals","0218","Galeopterus variegatus (Sunda flying lemur)",331,139,1,1,"Animals1","Animals1"
"45","hai","Animals","Vertebrates","Mammals","0382","Hipposideros armiger (great roundleaf bat)",331,139,1,1,"Animals1","Animals1"
"46","hgl","Animals","Vertebrates","Mammals","0463","Heterocephalus glaber (naked mole-rat)",331,139,1,1,"Animals1","Animals1"
"47","hhv","Animals","Vertebrates","Mammals","0483","Hyaena hyaena (striped hyena)",331,139,1,1,"Animals1","Animals1"
"48","hmh","Animals","Vertebrates","Mammals","0530","Hylobates moloch (silvery gibbon)",331,139,1,1,"Animals1","Animals1"
"49","hsa","Animals","Vertebrates","Mammals","0581","Homo sapiens (human)",331,139,1,1,"Animals1","Animals1"
"50","lav","Animals","Vertebrates","Mammals","0254","Loxodonta africana (African savanna elephant)",331,139,1,1,"Animals1","Animals1"
"51","lcat","Animals","Vertebrates","Mammals","0870","Lemur catta (Ring-tailed lemur)",331,139,1,1,"Animals1","Animals1"
"52","llv","Animals","Vertebrates","Mammals","0427","Lutra lutra (Eurasian river otter)",331,139,1,1,"Animals1","Animals1"
"53","lruf","Animals","Vertebrates","Mammals","0396","Lynx rufus (bobcat)",331,139,1,1,"Animals1","Animals1"
"54","lve","Animals","Vertebrates","Mammals","0539","Lipotes vexillifer (Yangtze River dolphin)",331,139,1,1,"Animals1","Animals1"
"55","lww","Animals","Vertebrates","Mammals","0551","Leptonychotes weddellii (Weddell seal)",331,139,1,1,"Animals1","Animals1"
"56","maua","Animals","Vertebrates","Mammals","0798","Mesocricetus auratus (golden hamster)",331,139,1,1,"Animals1","Animals1"
"57","mcal","Animals","Vertebrates","Mammals","0564","Mus caroli (Ryukyu mouse)",331,139,1,1,"Animals1","Animals1"
"58","mcc","Animals","Vertebrates","Mammals","0668","Macaca mulatta (rhesus monkey)",331,139,1,1,"Animals1","Animals1"
"59","mcf","Animals","Vertebrates","Mammals","0670","Macaca fascicularis (crab-eating macaque)",331,139,1,1,"Animals1","Animals1"
"60","mcoc","Animals","Vertebrates","Mammals","0710","Mastomys coucha (southern multimammate mouse)",331,139,1,1,"Animals1","Animals1"
"61","mdo","Animals","Vertebrates","Mammals","0694","Monodelphis domestica (gray short-tailed opossum)",331,139,1,1,"Animals1","Animals1"
"62","mfot","Animals","Vertebrates","Mammals","0161","Microtus fortis (reed vole)",331,139,1,1,"Animals1","Animals1"
"63","mjv","Animals","Vertebrates","Mammals","0757","Manis javanica (Malayan pangolin)",331,139,1,1,"Animals1","Animals1"
"64","mleu","Animals","Vertebrates","Mammals","0771","Mandrillus leucophaeus (drill)",331,139,1,1,"Animals1","Animals1"
"65","mlf","Animals","Vertebrates","Mammals","0765","Myotis lucifugus (little brown bat)",331,139,1,1,"Animals1","Animals1"
"66","mlx","Animals","Vertebrates","Mammals","0769","Mirounga leonina (Southern elephant seal)",331,139,1,1,"Animals1","Animals1"
"67","mmf","Animals","Vertebrates","Mammals","0773","Molossus molossus (Pallas's mastiff bat)",331,139,1,1,"Animals1","Animals1"
"68","mmu","Animals","Vertebrates","Mammals","0779","Mus musculus (house mouse)",331,139,1,1,"Animals1","Animals1"
"69","mmur","Animals","Vertebrates","Mammals","0534","Microcebus murinus (gray mouse lemur)",331,139,1,1,"Animals1","Animals1"
"70","mmyo","Animals","Vertebrates","Mammals","0568","Myotis myotis (greater mouse-eared bat)",331,139,1,1,"Animals1","Animals1"
"71","mna","Animals","Vertebrates","Mammals","0784","Miniopterus natalensis (Natal long-fingered bat)",331,139,1,1,"Animals1","Animals1"
"72","mni","Animals","Vertebrates","Mammals","0787","Macaca nemestrina (pig-tailed macaque)",331,139,1,1,"Animals1","Animals1"
"73","morg","Animals","Vertebrates","Mammals","0476","Microtus oregoni (creeping vole)",331,139,1,1,"Animals1","Animals1"
"74","mpah","Animals","Vertebrates","Mammals","0637","Mus pahari (shrew mouse)",331,139,1,1,"Animals1","Animals1"
"75","mpuf","Animals","Vertebrates","Mammals","0815","Mustela putorius furo (domestic ferret)",331,139,1,1,"Animals1","Animals1"
"76","mthb","Animals","Vertebrates","Mammals","0596","Macaca thibetana thibetana (Pere David's macaque)",331,139,1,1,"Animals1","Animals1"
"77","mun","Animals","Vertebrates","Mammals","0861","Meriones unguiculatus (Mongolian gerbil)",331,139,1,1,"Animals1","Animals1"
"78","myb","Animals","Vertebrates","Mammals","0030","Myotis brandtii (Brandt's bat)",331,139,1,1,"Animals1","Animals1"
"79","myd","Animals","Vertebrates","Mammals","0031","Myotis davidii (David's myotis)",331,139,1,1,"Animals1","Animals1"
"80","nasi","Animals","Vertebrates","Mammals","0484","Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise)",331,139,1,1,"Animals1","Animals1"
"81","ncar","Animals","Vertebrates","Mammals","0085","Sciurus carolinensis (gray squirrel)",331,139,1,1,"Animals1","Animals1"
"82","ngi","Animals","Vertebrates","Mammals","0292","Nannospalax galili (Upper Galilee mountains blind mole rat)",331,139,1,1,"Animals1","Animals1"
"83","nle","Animals","Vertebrates","Mammals","0364","Nomascus leucogenys (northern white-cheeked gibbon)",331,139,1,1,"Animals1","Animals1"
"84","nsu","Animals","Vertebrates","Mammals","0465","Neomonachus schauinslandi (Hawaiian monk seal)",331,139,1,1,"Animals1","Animals1"
"85","nvs","Animals","Vertebrates","Mammals","0501","Neogale vison (American mink)",331,139,1,1,"Animals1","Animals1"
"86","oaa","Animals","Vertebrates","Mammals","0593","Ornithorhynchus anatinus (platypus)",331,139,1,1,"Animals1","Animals1"
"87","oas","Animals","Vertebrates","Mammals","0601","Ovis aries (sheep)",331,139,1,1,"Animals1","Animals1"
"88","ocu","Animals","Vertebrates","Mammals","0626","Oryctolagus cuniculus (rabbit)",331,139,1,1,"Animals1","Animals1"
"89","oda","Animals","Vertebrates","Mammals","0631","Oryx dammah (scimitar-horned oryx)",331,139,1,1,"Animals1","Animals1"
"90","oga","Animals","Vertebrates","Mammals","0665","Otolemur garnettii (small-eared galago)",331,139,1,1,"Animals1","Animals1"
"91","oor","Animals","Vertebrates","Mammals","0761","Orcinus orca (killer whale)",331,139,1,1,"Animals1","Animals1"
"92","opi","Animals","Vertebrates","Mammals","0767","Ochotona princeps (American pika)",331,139,1,1,"Animals1","Animals1"
"93","oro","Animals","Vertebrates","Mammals","0789","Odobenus rosmarus divergens (Pacific walrus)",331,139,1,1,"Animals1","Animals1"
"94","pale","Animals","Vertebrates","Mammals","0440","Pteropus alecto (black flying fox)",331,139,1,1,"Animals1","Animals1"
"95","panu","Animals","Vertebrates","Mammals","0462","Papio anubis (olive baboon)",331,139,1,1,"Animals1","Animals1"
"96","pbg","Animals","Vertebrates","Mammals","0110","Prionailurus bengalensis (leopard cat)",331,139,1,1,"Animals1","Animals1"
"97","pcad","Animals","Vertebrates","Mammals","0219","Physeter catodon (sperm whale)",331,139,1,1,"Animals1","Animals1"
"98","pcoo","Animals","Vertebrates","Mammals","0445","Puma concolor (puma)",331,139,1,1,"Animals1","Animals1"
"99","pcoq","Animals","Vertebrates","Mammals","0441","Propithecus coquereli (Coquerel's sifaka)",331,139,1,1,"Animals1","Animals1"
"100","pcw","Animals","Vertebrates","Mammals","0135","Phascolarctos cinereus (koala)",331,139,1,1,"Animals1","Animals1"
"101","pdic","Animals","Vertebrates","Mammals","0737","Phyllostomus discolor (pale spear-nosed bat)",331,139,1,1,"Animals1","Animals1"
"102","pgig","Animals","Vertebrates","Mammals","0215","Pteropus giganteus (Indian flying fox)",331,139,1,1,"Animals1","Animals1"
"103","phas","Animals","Vertebrates","Mammals","0542","Phyllostomus hastatus (greater spear-nosed bat)",331,139,1,1,"Animals1","Animals1"
"104","pkl","Animals","Vertebrates","Mammals","0290","Pipistrellus kuhlii (Kuhl's pipistrelle)",331,139,1,1,"Animals1","Animals1"
"105","pleu","Animals","Vertebrates","Mammals","0494","Peromyscus leucopus (white-footed mouse)",331,139,1,1,"Animals1","Animals1"
"106","plop","Animals","Vertebrates","Mammals","0605","Perognathus longimembris pacificus (Pacific pocket mouse)",331,139,1,1,"Animals1","Animals1"
"107","pon","Animals","Vertebrates","Mammals","0349","Pongo abelii (Sumatran orangutan)",331,139,1,1,"Animals1","Animals1"
"108","ppad","Animals","Vertebrates","Mammals","0334","Panthera pardus (leopard)",331,139,1,1,"Animals1","Animals1"
"109","pps","Animals","Vertebrates","Mammals","0369","Pan paniscus (bonobo)",331,139,1,1,"Animals1","Animals1"
"110","prob","Animals","Vertebrates","Mammals","0474","Phodopus roborovskii (desert hamster)",331,139,1,1,"Animals1","Animals1"
"111","psiu","Animals","Vertebrates","Mammals","0746","Phocoena sinus (vaquita)",331,139,1,1,"Animals1","Animals1"
"112","pteh","Animals","Vertebrates","Mammals","0246","Piliocolobus tephrosceles (Ugandan red Colobus)",331,139,1,1,"Animals1","Animals1"
"113","ptg","Animals","Vertebrates","Mammals","0414","Panthera tigris altaica (Amur tiger)",331,139,1,1,"Animals1","Animals1"
"114","ptr","Animals","Vertebrates","Mammals","0424","Pan troglodytes (chimpanzee)",331,139,1,1,"Animals1","Animals1"
"115","puc","Animals","Vertebrates","Mammals","0429","Panthera uncia (snow leopard)",331,139,1,1,"Animals1","Animals1"
"116","pvp","Animals","Vertebrates","Mammals","0446","Pteropus vampyrus (large flying fox)",331,139,1,1,"Animals1","Animals1"
"117","pyu","Animals","Vertebrates","Mammals","0486","Puma yagouaroundi (jaguarundi)",331,139,1,1,"Animals1","Animals1"
"118","ray","Animals","Vertebrates","Mammals","0018","Rousettus aegyptiacus (Egyptian rousette)",331,139,1,1,"Animals1","Animals1"
"119","rbb","Animals","Vertebrates","Mammals","0023","Rhinopithecus bieti (black snub-nosed monkey)",331,139,1,1,"Animals1","Animals1"
"120","rfq","Animals","Vertebrates","Mammals","0115","Rhinolophus ferrumequinum (greater horseshoe bat)",331,139,1,1,"Animals1","Animals1"
"121","rno","Animals","Vertebrates","Mammals","0270","Rattus norvegicus (rat)",331,139,1,1,"Animals1","Animals1"
"122","rro","Animals","Vertebrates","Mammals","0342","Rhinopithecus roxellana (golden snub-nosed monkey)",331,139,1,1,"Animals1","Animals1"
"123","sara","Animals","Vertebrates","Mammals","0124","Sorex araneus (European shrew)",331,139,1,1,"Animals1","Animals1"
"124","sbq","Animals","Vertebrates","Mammals","0531","Saimiri boliviensis boliviensis (Bolivian squirrel monkey)",331,139,1,1,"Animals1","Animals1"
"125","shon","Animals","Vertebrates","Mammals","0407","Sturnira hondurensis",331,139,1,1,"Animals1","Animals1"
"126","shr","Animals","Vertebrates","Mammals","0583","Sarcophilus harrisii (Tasmanian devil)",331,139,1,1,"Animals1","Animals1"
"127","ssc","Animals","Vertebrates","Mammals","0718","Sus scrofa (pig)",331,139,1,1,"Animals1","Animals1"
"128","tfn","Animals","Vertebrates","Mammals","0033","Trachypithecus francoisi (Francois's langur)",331,139,1,1,"Animals1","Animals1"
"129","tge","Animals","Vertebrates","Mammals","0044","Theropithecus gelada (gelada)",331,139,1,1,"Animals1","Animals1"
"130","tmu","Animals","Vertebrates","Mammals","0170","Trichechus manatus latirostris (Florida manatee)",331,139,1,1,"Animals1","Animals1"
"131","tod","Animals","Vertebrates","Mammals","0195","Talpa occidentalis (Iberian mole)",331,139,1,1,"Animals1","Animals1"
"132","tup","Animals","Vertebrates","Mammals","0329","Tupaia chinensis (Chinese tree shrew)",331,139,1,1,"Animals1","Animals1"
"133","uah","Animals","Vertebrates","Mammals","0470","Ursus arctos horribilis (North American brown bear)",331,139,1,1,"Animals1","Animals1"
"134","uar","Animals","Vertebrates","Mammals","0478","Ursus americanus (American black bear)",331,139,1,1,"Animals1","Animals1"
"135","umr","Animals","Vertebrates","Mammals","0597","Ursus maritimus (polar bear)",331,139,1,1,"Animals1","Animals1"
"136","vlg","Animals","Vertebrates","Mammals","0069","Vulpes lagopus (Arctic fox)",331,139,1,1,"Animals1","Animals1"
"137","vpc","Animals","Vertebrates","Mammals","0137","Vicugna pacos (alpaca)",331,139,1,1,"Animals1","Animals1"
"138","vvp","Animals","Vertebrates","Mammals","0269","Vulpes vulpes (red fox)",331,139,1,1,"Animals1","Animals1"
"139","zca","Animals","Vertebrates","Mammals","0744","Zalophus californianus (California sea lion)",331,139,1,1,"Animals1","Animals1"
"140","aang","Animals","Vertebrates","Fishes","0317","Anguilla anguilla (European eel)",331,89,1,1,"Animals1","Animals1"
"141","alat","Animals","Vertebrates","Fishes","0271","Acanthopagrus latus (yellowfin seabream)",331,89,1,1,"Animals1","Animals1"
"142","alim","Animals","Vertebrates","Fishes","0394","Austrofundulus limnaeus (annual killifish)",331,89,1,1,"Animals1","Animals1"
"143","amex","Animals","Vertebrates","Fishes","0715","Astyanax mexicanus (Mexican tetra)",331,89,1,1,"Animals1","Animals1"
"144","aoce","Animals","Vertebrates","Fishes","0639","Amphiprion ocellaris (clown anemonefish)",331,89,1,1,"Animals1","Animals1"
"145","arut","Animals","Vertebrates","Fishes","0405","Acipenser ruthenus (sterlet)",331,89,1,1,"Animals1","Animals1"
"146","bpec","Animals","Vertebrates","Fishes","0641","Boleophthalmus pectinirostris (great blue-spotted mudskipper)",331,89,1,1,"Animals1","Animals1"
"147","bspl","Animals","Vertebrates","Fishes","0341","Betta splendens (Siamese fighting fish)",331,89,1,1,"Animals1","Animals1"
"148","caua","Animals","Vertebrates","Fishes","0458","Carassius auratus (goldfish)",331,89,1,1,"Animals1","Animals1"
"149","ccar","Animals","Vertebrates","Fishes","0121","Cyprinus carpio (common carp)",331,89,1,1,"Animals1","Animals1"
"150","cclu","Animals","Vertebrates","Fishes","0284","Coregonus clupeaformis (lake whitefish)",331,89,1,1,"Animals1","Animals1"
"151","cgib","Animals","Vertebrates","Fishes","0045","Carassius gibelio (silver crucian carp)",331,89,1,1,"Animals1","Animals1"
"152","cgob","Animals","Vertebrates","Fishes","0167","Cottoperca gobio",331,89,1,1,"Animals1","Animals1"
"153","cide","Animals","Vertebrates","Fishes","0816","Ctenopharyngodon idella (grass carp)",331,89,1,1,"Animals1","Animals1"
"154","csem","Animals","Vertebrates","Fishes","0636","Cynoglossus semilaevis (tongue sole)",331,89,1,1,"Animals1","Animals1"
"155","ctul","Animals","Vertebrates","Fishes","0421","Cyprinodon tularosa (White Sands pupfish)",331,89,1,1,"Animals1","Animals1"
"156","cud","Animals","Vertebrates","Fishes","0345","Cheilinus undulatus (humphead wrasse)",331,89,1,1,"Animals1","Animals1"
"157","cvg","Animals","Vertebrates","Fishes","0354","Cyprinodon variegatus (sheepshead minnow)",331,89,1,1,"Animals1","Animals1"
"158","dre","Animals","Vertebrates","Fishes","0675","Danio rerio (zebrafish)",331,89,1,1,"Animals1","Animals1"
"159","ecra","Animals","Vertebrates","Fishes","0475","Etheostoma cragini (Arkansas darter)",331,89,1,1,"Animals1","Animals1"
"160","eee","Animals","Vertebrates","Fishes","0859","Electrophorus electricus (electric eel)",331,89,1,1,"Animals1","Animals1"
"161","efo","Animals","Vertebrates","Fishes","0878","Epinephelus fuscoguttatus (brown-marbled grouper)",331,89,1,1,"Animals1","Animals1"
"162","els","Animals","Vertebrates","Fishes","0102","Esox lucius (northern pike)",331,89,1,1,"Animals1","Animals1"
"163","ely","Animals","Vertebrates","Fishes","0108","Epinephelus lanceolatus (giant grouper)",331,89,1,1,"Animals1","Animals1"
"164","esp","Animals","Vertebrates","Fishes","0238","Etheostoma spectabile (orangethroat darter)",331,89,1,1,"Animals1","Animals1"
"165","gaf","Animals","Vertebrates","Fishes","0777","Gambusia affinis (western mosquitofish)",331,89,1,1,"Animals1","Animals1"
"166","gat","Animals","Vertebrates","Fishes","0782","Gasterosteus aculeatus (three-spined stickleback)",331,89,1,1,"Animals1","Animals1"
"167","gmu","Animals","Vertebrates","Fishes","0041","Girardinichthys multiradiatus (darkedged splitfin)",331,89,1,1,"Animals1","Animals1"
"168","hcq","Animals","Vertebrates","Fishes","0411","Hippocampus comes (tiger tail seahorse)",331,89,1,1,"Animals1","Animals1"
"169","hhip","Animals","Vertebrates","Fishes","0335","Hippoglossus hippoglossus (Atlantic halibut)",331,89,1,1,"Animals1","Animals1"
"170","hsp","Animals","Vertebrates","Fishes","0588","Hippoglossus stenolepis (Pacific halibut)",331,89,1,1,"Animals1","Animals1"
"171","ipu","Animals","Vertebrates","Fishes","0020","Ictalurus punctatus (channel catfish)",331,89,1,1,"Animals1","Animals1"
"172","kmr","Animals","Vertebrates","Fishes","0819","Kryptolebias marmoratus (mangrove rivulus)",331,89,1,1,"Animals1","Animals1"
"173","lcf","Animals","Vertebrates","Fishes","0288","Lates calcarifer (barramundi perch)",331,89,1,1,"Animals1","Animals1"
"174","lcm","Animals","Vertebrates","Fishes","0298","Latimeria chalumnae (coelacanth)",331,89,1,1,"Animals1","Animals1"
"175","lco","Animals","Vertebrates","Fishes","0301","Larimichthys crocea (large yellow croaker)",331,89,1,1,"Animals1","Animals1"
"176","loc","Animals","Vertebrates","Fishes","0457","Lepisosteus oculatus (spotted gar)",331,89,1,1,"Animals1","Animals1"
"177","malb","Animals","Vertebrates","Fishes","0735","Monopterus albus (swamp eel)",331,89,1,1,"Animals1","Animals1"
"178","mamb","Animals","Vertebrates","Fishes","0727","Megalobrama amblycephala (Wuchang bream)",331,89,1,1,"Animals1","Animals1"
"179","masi","Animals","Vertebrates","Fishes","0781","Myxocyprinus asiaticus (Chinese sucker)",331,89,1,1,"Animals1","Animals1"
"180","mcep","Animals","Vertebrates","Fishes","0612","Mugil cephalus (flathead mullet)",331,89,1,1,"Animals1","Animals1"
"181","msam","Animals","Vertebrates","Fishes","0055","Micropterus salmoides (largemouth bass)",331,89,1,1,"Animals1","Animals1"
"182","mze","Animals","Vertebrates","Fishes","0048","Maylandia zebra (zebra mbuna)",331,89,1,1,"Animals1","Animals1"
"183","ncc","Animals","Vertebrates","Fishes","0200","Notothenia coriiceps (black rockcod)",331,89,1,1,"Animals1","Animals1"
"184","nfu","Animals","Vertebrates","Fishes","0277","Nothobranchius furzeri (turquoise killifish)",331,89,1,1,"Animals1","Animals1"
"185","nwh","Animals","Vertebrates","Fishes","0506","Nematolebias whitei (Rio pearlfish)",331,89,1,1,"Animals1","Animals1"
"186","oau","Animals","Vertebrates","Fishes","0602","Oreochromis aureus (blue tilapia)",331,89,1,1,"Animals1","Animals1"
"187","ogo","Animals","Vertebrates","Fishes","0676","Oncorhynchus gorbuscha (pink salmon)",331,89,1,1,"Animals1","Animals1"
"188","ola","Animals","Vertebrates","Fishes","0731","Oryzias latipes (Japanese medaka)",331,89,1,1,"Animals1","Animals1"
"189","oml","Animals","Vertebrates","Fishes","0742","Oryzias melastigma (Indian medaka)",331,89,1,1,"Animals1","Animals1"
"190","omy","Animals","Vertebrates","Fishes","0745","Oncorhynchus mykiss (rainbow trout)",331,89,1,1,"Animals1","Animals1"
"191","one","Animals","Vertebrates","Fishes","0752","Oncorhynchus nerka (sockeye salmon)",331,89,1,1,"Animals1","Animals1"
"192","onl","Animals","Vertebrates","Fishes","0753","Oreochromis niloticus (Nile tilapia)",331,89,1,1,"Animals1","Animals1"
"193","otw","Animals","Vertebrates","Fishes","0811","Oncorhynchus tshawytscha (Chinook salmon)",331,89,1,1,"Animals1","Animals1"
"194","pflv","Animals","Vertebrates","Fishes","0733","Perca flavescens (yellow perch)",331,89,1,1,"Animals1","Animals1"
"195","pfor","Animals","Vertebrates","Fishes","0754","Poecilia formosa (Amazon molly)",331,89,1,1,"Animals1","Animals1"
"196","phyp","Animals","Vertebrates","Fishes","0812","Pangasianodon hypophthalmus (striped catfish)",331,89,1,1,"Animals1","Animals1"
"197","pki","Animals","Vertebrates","Fishes","0289","Paramormyrops kingsleyae",331,89,1,1,"Animals1","Animals1"
"198","plai","Animals","Vertebrates","Fishes","0436","Poecilia latipinna (sailfin molly)",331,89,1,1,"Animals1","Animals1"
"199","plep","Animals","Vertebrates","Fishes","0492","Plectropomus leopardus (leopard coralgrouper)",331,89,1,1,"Animals1","Animals1"
"200","pmei","Animals","Vertebrates","Fishes","0820","Poecilia mexicana (shortfin molly)",331,89,1,1,"Animals1","Animals1"
"201","pov","Animals","Vertebrates","Fishes","0355","Paralichthys olivaceus (Japanese flounder)",331,89,1,1,"Animals1","Animals1"
"202","pprm","Animals","Vertebrates","Fishes","0535","Pimephales promelas (fathead minnow)",331,89,1,1,"Animals1","Animals1"
"203","ppug","Animals","Vertebrates","Fishes","0577","Pungitius pungitius (ninespine stickleback)",331,89,1,1,"Animals1","Animals1"
"204","pret","Animals","Vertebrates","Fishes","0324","Poecilia reticulata (guppy)",331,89,1,1,"Animals1","Animals1"
"205","psex","Animals","Vertebrates","Fishes","0702","Polypterus senegalus (gray bichir)",331,89,1,1,"Animals1","Animals1"
"206","pspa","Animals","Vertebrates","Fishes","0793","Polyodon spathula (Mississippi paddlefish)",331,89,1,1,"Animals1","Animals1"
"207","salp","Animals","Vertebrates","Fishes","0062","Salvelinus sp. IW2-2015 (Arctic char)",331,89,1,1,"Animals1","Animals1"
"208","sanh","Animals","Vertebrates","Fishes","0117","Sinocyclocheilus anshuiensis",331,89,1,1,"Animals1","Animals1"
"209","sasa","Animals","Vertebrates","Fishes","0178","Salmo salar (Atlantic salmon)",331,89,1,1,"Animals1","Animals1"
"210","schu","Animals","Vertebrates","Fishes","0827","Siniperca chuatsi (mandarin fish)",331,89,1,1,"Animals1","Animals1"
"211","sdu","Animals","Vertebrates","Fishes","0550","Seriola dumerili (greater amberjack)",331,89,1,1,"Animals1","Animals1"
"212","sfm","Animals","Vertebrates","Fishes","0565","Scleropages formosus (Asian bonytongue)",331,89,1,1,"Animals1","Animals1"
"213","sgh","Animals","Vertebrates","Fishes","0572","Sinocyclocheilus grahami (golden-line barbel)",331,89,1,1,"Animals1","Animals1"
"214","slal","Animals","Vertebrates","Fishes","0071","Seriola lalandi dorsalis (Yellowtail amberjack)",331,89,1,1,"Animals1","Animals1"
